title,longitude,latitude
"#SGUnitedJobs Scientist, Engineering Mechanics, IHPC",103.788,1.29936
"Beauty Consultant",103.743,1.33438
"Manager - Release Train Engineer",103.743,1.3346
"Warehouse Assistant - Part Time",103.874,1.32865
"Senior Research Engineer",103.848,1.28555
"Senior Accounting Executives",103.843,1.31783
"Part-Time Administrative Assistant l $15-$18 /hour",103.837,1.30145
"Backend Engineer",103.837,1.3014
"Warehouse Assistants - Bonus & Shift Allowance",103.908,1.36581
"Global Business Intelligence & Performance Reporting Lead",103.908,1.36489
"Welder cum Worker",103.852,1.29027
"Assistant Technician (1-year contract)",103.852,1.29027
"Talent Acquisition Partner APAC",103.818,1.26484
"Call Center Agent",103.819,1.26479
"Admin & Sales Executive",103.822,1.2644
"Retail Assistant",103.879,1.37606
"Senior Product Marketing Engineer",103.749,1.32906
"Project Engineer",103.749,1.32906
"Administration Clerk",103.749,1.32906
"Solution Engineer",103.886,1.33624
"ASSISTANT ENGINEER",103.886,1.33624
"Kitchen Assistant (Restaurant)",103.779,1.33876
"Management Trainee (Country Project Management Office & Strategy)",103.811,1.28505
"LOGISTICS LORRY DRIVER",103.696,1.30491
"Care Kits & Packing Distribution",103.727,1.321
"Assistant Engineer - QA ( #SGUnitedTraineeships / #SGUP)",103.669,1.32803
"Senior Software Engineer (SAP BTP Cloud Foundry)",103.678,1.32769
"Sales & Admin Support Associate - B2B",103.678,1.32716
"Manager (Category Assortment & Space Optimisation)",103.678,1.32716
"Assistant Engineer - Metrology ( #SGUnitedTraineeships / #SGUP)",103.669,1.32803
"Delivery Driver",103.669,1.32289
Cashier,103.707,1.34004
Carpenter,103.905,1.33677
"VEHICLE PANEL BEATER",103.912,1.34136
"Retail Sales Executive",103.903,1.33359
"Finance Manager",103.903,1.33277
"QC Supervisor ",103.91,1.33646
"Senior Java Developer & Team Leader",103.873,1.30308
"Executive Assistant",103.864,1.31246
"PC Technician / Builder",103.874,1.32656
"Accounting Administrative Assistant",103.874,1.32656
"Medical Trainer",103.815,1.29602
"Analyst/Manager, Japan",103.841,1.27892
"Back-End Java Engineer",103.841,1.27892
"Sales Admin Assistant ",103.832,1.29344
"Sales Admin Assistant",103.832,1.29364
"QAQC ASSISTANT",103.702,1.32958
Steward,103.822,1.25213
"Roadshow Promoters",103.847,1.34029
"Patient Service Associate",103.785,1.29343
"Program Manager",103.842,1.28843
"Project Management Office (PMO) Executive #SGUnitedtraineeships #SGUP $SGUT",103.853,1.28229
"Warehouse Assistant ",103.853,1.28229
"Marketing Designer",103.906,1.30189
"Loading Master",103.82,1.26448
"Management Trainee cum Business Development Manager",103.82,1.26287
"Sr Python Programmer",103.854,1.27902
"Process Technician",103.714,1.28164
"Patrolling Officer",103.791,1.3053
"Senior Bartender",103.839,1.28988
"Investment Analyst (2 year programme)",103.839,1.29007
"Logistics Operations Executive",103.849,1.28999
"Senior/ Recruiter",103.794,1.45482
"Preparation Beverage Crew (Northpoint City)",103.836,1.42787
"HR Manager",103.797,1.30443
"Assembly Technician - Part-Time",103.852,1.29027
"Medical Receptionist / Customer Service #SGUnitedJobs",103.824,1.30314
"Golf Assistants (Marshals)",103.844,1.41104
"Assistant Manager (Marketing and Communication) #SGUnitedTraineeships #SGUP #PublicService",103.852,1.29027
"Specifications Analyst ",103.761,1.3015
Accountant,103.842,1.28419
"Jewellery Sales Associate ",103.843,1.28413
"Games Operator",103.955,1.37763
"Technical Services Officer",103.955,1.37657
"Retail Assistant (Part-Time)",103.955,1.37657
"Design Director",103.894,1.31767
"Critical Environment Management Lead",103.894,1.31767
"Design Technician/ CAD Modeler",103.894,1.31767
"Optometrist / Optician",103.894,1.31789
"Full time Barista",103.894,1.31771
"Odoo Consultant ",103.843,1.35189
"Finance Officer (SA/AVP)",103.85,1.28497
"Great Eastern Advisors’ Clique Financial Advisor",103.848,1.28487
"Lead – User Experience Design",103.848,1.28482
"Senior Manager. Biologics Operation, Downstream",103.662,1.30744
"Service Crew",103.842,1.32086
"Spray Painter",103.803,1.28762
"APAC Algorithmic Trading & Dark Pool Developer #17273",103.854,1.29273
"Product Manager - Talent Solutions",103.851,1.28435
"Senior Audit Manager, Assurance",103.852,1.28089
"Analyst, Investment",103.777,1.29436
"Dr Yu Fengwei Group: Postdoctoral Position",103.777,1.29436
"Retail Sales Associate (Full-Time)",103.838,1.29553
"Data Center Operations Technician ",103.851,1.28198
"Mobile Shop Assistant",103.853,1.30307
"GENERAL MANAGER",103.853,1.30302
"Network Engineer (Linux), East, Up $6000",103.832,1.30611
"Retail / Kitchen Crew",103.849,1.30019
"Tele Marketer",103.849,1.30011
"Shop Assistant",103.895,1.39205
"Full / Part-Time Beverage Service Crew",103.895,1.39201
"Shipping Assistant",103.804,1.46015
"Lab Analyst",103.727,1.27618
"Maintenance Worker ",103.697,1.30837
"Consultant (HR, Marketing, Operations)",103.881,1.3168
"Machine Learning Engineer (Computer Vision)",103.881,1.3168
"Customer Service Executive - Credit Recovery",103.881,1.31679
"Retail Executive (FT)",103.838,1.30097
"Assistant Engineer",103.698,1.33336
"Automotive & Small Machinery Mechanic / Technician",103.698,1.33325
"Driver Class 3",103.698,1.33273
"Admin Assistant",103.85,1.30158
"Leasing cum Admin Assistant",103.849,1.30127
"Senior Executive, Finance (AR) 2-years Contract) - Singapore Sports Hub",103.875,1.30395
"Cashier cum Retail Assistant [5 days / Kallang] ",103.873,1.30308
"Principal Engineer (Cloud & Media)",103.792,1.29556
"Service Crew [Freelancer][No Commitments][Easy Scheduling]",103.854,1.27892
"Admin & Operations Support",103.697,1.31551
"Senior Manager, Customer Success (Engagement)",103.859,1.30635
"Documention Assistant / Executive (Shipping / Logistics / Freight Forwarding)",103.944,1.3531
"Senior Specialist (L&D)",103.929,1.37085
"Chief operating Officer",103.933,1.37158
"Class 4 Bus Driver",103.933,1.37158
"Class 4 Driver (Full-time | $2700 to$3100 | 5.5 days |East)#SGUnitedJobs",103.934,1.37153
"Human Resource Manager",103.852,1.29027
Telemarkerter,103.94,1.35311
"Part time Room Attendant",103.828,1.30661
"Finance & Procurement Executive",103.774,1.31293
Buyer,103.86,1.29267
"IT Operations Analyst (Network)",103.86,1.29267
"Enrolled Nurse",103.84,1.33076
"Design Engineer (Civil & Structural)",103.648,1.31891
"#SGUnitedPre-Sales Engineer",103.642,1.32005
"Accounts Executive (Food Manufacturing Industry)",103.63,1.31347
"Production Technician",103.631,1.30746
"Senior Engineer (API)",103.627,1.28595
Cook,103.629,1.29832
"Pharmaceutical Sales Representative",103.894,1.32551
"Photographer Assistant",103.894,1.33223
"Marketing Operations Support Executive (Contract) ",103.897,1.33165
Cook,103.788,1.30695
"Kitchen Assistant - Part-Time",103.757,1.3166
"Retail Associate Executive",103.757,1.31649
"Full-Time / Part-Time Service Crew x10",103.846,1.27695
"Director - Head of Category, Networks Services ",103.846,1.2768
"CLEANER (CHILDCARE CENTRE) - $ 1800.00 + CPF / 5 DAYS WORK WEEK,OFFICE HOUR/ 14 DAYS ANNUAL LEAVE / ",103.757,1.31641
"Dish Washer",103.757,1.31641
Cook,103.757,1.31645
"R&D Lab Technician",103.806,1.44958
"Production Worker",103.806,1.44922
"Class 4 Bus Driver (Panjang/CCK Area)",103.753,1.39471
"Teacher Aide / Assistant Teacher",103.76,1.38061
"Wealth Manager (No prior experience required)",103.786,1.43566
"SALES MANAGER",103.804,1.4514
"IB And AP English Language And Literature Teacher - Part-Time",103.87,1.33697
"Regional Category Manager ",103.841,1.44032
"Youth Development Trainer (Contract)",103.842,1.43696
"PROJECT ENGINEER ",103.842,1.43732
"Customer Service Representative (Part-Time / Full-Time)",103.842,1.43696
"Safety Coordinator",103.842,1.43871
"Consultant (Finance)",103.841,1.43792
"Technician (experience in vending machines)",103.85,1.2894
"Personal Assistant",103.957,1.34959
"Technical Admin / Executive #SGUnitedTraineeships #SGUP",103.812,1.46237
"Test Development Engineer",103.849,1.38936
"Full Time Credit Consultants Wanted x 4",103.846,1.27593
"IT Support",103.846,1.27586
"Assistant Manager, Front Office",103.852,1.29027
"Chef De Partie",103.891,1.32558
"Architectural / Interior / Adventure Play Designer",103.758,1.33839
"MECHANICAL & ELECTRICAL (M&E) SUPERVISOR",103.852,1.29027
"Facility Maintenance Technician",103.708,1.355
"Technician – Facility Management (Maintenance)",103.708,1.35512
"Material Controller",103.703,1.31253
"Piping Coordinator ",103.703,1.31253
"senior welder",103.703,1.31253
"Company Secretary",103.967,1.33572
"Servicing Technician",103.952,1.33109
"Product Marketing Manager",103.966,1.32928
"Investment Advisor",103.852,1.2832
"Customer Experience Specialist",103.894,1.31889
"Team Manager",103.895,1.31902
"Product Engineer",103.672,1.31306
"Senior Principal Clinical Pharmaci",103.852,1.29027
"Officer, Collection",103.749,1.32523
"Support Engineer",103.855,1.30381
"Senior Human Resource & Administration Manager",103.855,1.30381
"Accounts Assistant",103.697,1.3053
"IP Chemistry Curriculum Design Intern | Up To S$1,500/mo + CPF | Students Welcome",103.814,1.32259
"Hr Administrator (Part-Time)",103.849,1.32059
"Office Admin Assistant ",103.907,1.33852
"Warehouse Supervisor ",103.907,1.33852
"Business Development Analyst",103.907,1.33852
Dishwasher,103.902,1.3345
"Graphic Designer",103.903,1.33558
"Digital Marketing Executive",103.903,1.33537
"CLINIC ASSISTANT",103.829,1.28503
"Senior/ Sales Associate - 5 days - Asian Designer labels",103.751,1.43431
"Analyst - Market Risk Analyst - Risk Management",103.854,1.27947
"EXECUTIVE - OFFICE SUPPORT - Part-Time",103.854,1.27947
"Inside Sales",103.759,1.30573
"Accounts Executive",103.759,1.30556
"Warehouse Assistant",103.752,1.30283
"Warehouse Coordinator",103.752,1.30276
"ANALYST/SENIOR ANALYST, CORPORATE FINANCE (BASED IN SINGAPORE)",103.799,1.27483
"Senior / Manager, Investment & Asset Management",103.799,1.27483
"Part time Community Staff",103.893,1.31753
"Kitchen Crew",103.893,1.31756
"Kitchen Assistant / Food Runner / Dishwasher / Cleaner",103.851,1.30053
"Social Media Marketing Manager #SGUnitedTraineeships #SGUP",103.833,1.27374
"Game Facilitator (DM)",103.867,1.32739
"Gymnastics coach",103.737,1.33122
"HR cum Accounts Executive",103.78,1.2885
"Spray Painter",103.838,1.35778
"Service Crew - (Full Time) & (Part Time ,Mon-Fri) - Novena Square 2 ",103.811,1.46587
"Manager/Senior Manager, Legal",103.819,1.25593
"Product & Compliance Associate",103.847,1.27472
"Kitchen Helper",103.844,1.32083
"Service Crew - (Full Time) & (Part Time ,Mon-Fri) - Novena Square 2",103.844,1.3207
"Spa Manager",103.844,1.3207
"Dormitory Supervisor",103.748,1.40636
"Associate Engineer",103.93,1.36039
"Sales and Application Engineer",103.932,1.36532
"Sales & Application Engineer - 3D Printing Related",103.933,1.36518
"Customer Relations Executive",103.826,1.30656
"Warehouse Assistant Part-Time",103.877,1.32942
"Account cum Administrative Assistant",103.632,1.31238
"S$3500 Security Officer at Tuas South",103.629,1.28487
"GROUP ACCOUNTANT",103.639,1.27127
"Senior Account Manager",103.645,1.33555
"WANT TO BE A FULL-TIME PROJECT/ACCOUNT MANAGER FOR AN AWESOME COMPANY?",103.896,1.32646
"Administrative Clerk",103.896,1.32628
"Technical Engineer",103.842,1.30987
" Clinical Psychologist",103.842,1.31015
"Seasonal Planning and Process Lead",103.799,1.27483
"Cyber Security Architect",103.849,1.28114
"Cleaning and Disinfection Specialist",103.898,1.32323
"Management Trainee",103.882,1.31008
"Membership Application Officer – Up to $19/hour",103.851,1.29118
manager,103.862,1.30295
"Management Trainee - F&B",103.862,1.30309
"SRE - C&S",103.881,1.31786
"Sales Executive",103.842,1.30074
"Integrated Media Specialist ",103.796,1.27543
"Scrum Master",103.844,1.27588
"Compound cleaner - Punggol",103.917,1.39951
"Waiter / Waitress",103.855,1.30989
"Accounting Manager",103.843,1.27468
"Home Care Executive",103.797,1.33342
"Head, Marketing Communications",103.849,1.34307
"Outsource IT Support Engineer L1 (12 Month Contract) - Part-Time",103.813,1.28506
"Plasterer ",103.887,1.36254
"Pool Lifeguard",103.777,1.30804
"Human Resources Officer",103.813,1.28418
"Project Engineer",103.813,1.28418
"Livestream / Digital Content Producer",103.813,1.28418
"Islandwide Cleaning Supervisor",103.861,1.33494
"Customer Service ",103.814,1.28362
"Administrative Assistant",103.86,1.3345
Supervisor,103.861,1.3345
"Senior Accountant",103.847,1.34361
"Assistant Project Manager ",103.9,1.32355
"Engineering Assistant (Service)",103.846,1.34301
"SENIOR OPERATIONS MANAGER",103.89,1.32113
"Production Operators x 25 / Boon Keng",103.796,1.2762
"CHEF DE PARTIE",103.797,1.27731
"Accounts Assistant/ Officer",103.797,1.2786
"CLASS 4 DELIVERY DRIVER",103.797,1.2785
"IMPACTFUL BRAND EXPERIENCE (IBE) LEAD",103.844,1.31719
"Senior Occupational Therapist",103.743,1.35143
"Student Care Teacher",103.842,1.27608
"Software Control Engineer",103.849,1.2811
"Software Engineer ",103.849,1.28098
"Robotic Application Engineer",103.892,1.35305
"Sales Engineer (Automation)",103.899,1.31978
"accounts admin assistant",103.843,1.32057
"ADMINISTRATOR IN COMPUTER SYSTEM",103.858,1.30866
"Pastry Cook",103.81,1.25761
"Bank Telesales - Basic more than $1,800 + Commission",103.844,1.31718
"Communications Associate",103.844,1.31719
"Foot/Other Reflexologist",103.861,1.31941
"Accounts Executive",103.844,1.2855
"Primary English Teacher (Full Time/Part Time) | Northeast",103.844,1.2855
"Digital Brand & Content Copywriter",103.891,1.31896
"Software Engineer",103.891,1.31864
"Party Balloon Crew",103.891,1.3183
"Sales Interior Designers",103.891,1.3183
Transporter,103.645,1.32305
"DIGITAL ENTERPRISE MANAGER",103.848,1.28178
"Junior Mental Maths Teacher (Full-time / 5.5 days / Yishun)",103.829,1.43085
"Delivery & Moving Driver",103.834,1.44308
"CLASS 3/4 PRIME MOVER DRIVER, PASIR PANJANG, 4K, TRAINING PROVIDED",103.795,1.2762
"Admin cum HR Assistant",103.795,1.2762
"Service Crew (up to $2,700/month)",103.847,1.28165
"shift manager",103.85,1.31889
"QA Engineer (Blockchain, Crypto and NFTs)",103.776,1.36876
"Construction spray paint worker",103.899,1.32223
"Project Executive",103.899,1.32167
"Warehouse Assistant",103.871,1.3345
"Audit Associate",103.851,1.30156
"Software Engineer",103.897,1.32073
"Quantity Surveyor Cum Drafter",103.897,1.32092
"Operations Manager",103.849,1.28059
"Cyber Insurance Broker",103.849,1.28055
"K2 Developers",103.849,1.28055
"Resource Teacher",103.825,1.28063
"Account Executive (Construction Industry)",103.877,1.31462
"Operation Manager for Cleaning Service",103.77,1.32191
"Project Management Associate #SGUnitedTraineeship #SGUP - Part-Time",103.898,1.31952
"Quality Assurance & Quality Control Inspector",103.662,1.31933
"Part-time Cook",103.913,1.31263
"Dishwasher cum Steward",103.85,1.29114
"Accounts Executive",103.852,1.30721
"Spa Therapist",103.89,1.35277
"Accounts Assistant",103.854,1.29888
"Office cum Project Administrator",103.794,1.27661
"Information Technology Manager",103.849,1.27955
"PROJECT ENGINEER",103.894,1.32257
"Project Engineer, East, Construction Up to 4.2k",103.848,1.34655
"Minimart Assistant",103.825,1.27393
"Retail Associate - Pet Supplies Store",103.771,1.3223
"Network Engineer",103.892,1.35455
"Senior / Solutions Engineer / Architect",103.892,1.35459
"Aesthetic Consultant Manager",103.846,1.34124
"Network Operations Manager",103.85,1.29143
"Marketing Executive",103.821,1.28002
"Production Operator / Printer",103.823,1.28121
"Aircon Technician",103.822,1.28099
"Network Engineer",103.822,1.28165
"Accounts & Admin Assistant (Part-Time)",103.86,1.31548
"Sales Associates",103.704,1.3339
"Traffic Controller",103.704,1.33358
"Account Executive",103.996,1.37442
"Compliance Officer (MLRO)",103.855,1.2954
"SCADA Engineer/Project Engineer (Singaporean only) MNC",103.855,1.2954
"Outlet Supervisor",103.932,1.32698
"Full Time Retail Sales Executive",103.849,1.35068
"Customer Business Assistant",103.982,1.37287
"Food Stall Assistant/Cashier",103.82,1.44903
"Assistant Manager / Manager, Restaurant & Bar (Hotel)",103.846,1.29597
"Cleaner ",103.811,1.28841
"Sales Executive",103.811,1.28846
"Part-Time F&B | $10+/hour | Restaurant in East",103.977,1.31676
"Quantity Surveyor Part-Time",103.969,1.35086
"Mechanical & Electrical (M&E) Coordinator ",103.963,1.33083
"Customer Service Assistant",103.745,1.38512
"Operations Executive",103.762,1.32836
"Sales Engineer (Marine, Class 3, Tuas)",103.852,1.28362
"Charter Boat Captain",103.838,1.2466
"Accounts Executive",103.838,1.2466
"Temp Content Management and Support",103.892,1.31945
"Senior Executive / Executive (Planning & Analysis)",103.837,1.27931
"Part-Time Research and Development Chef",103.887,1.33612
"PROJECT MANAGER  #SGUNITEDTRAINEESHIPS #SGUP",103.887,1.33638
"Delivery Driver",103.887,1.33638
esthetician,103.725,1.34536
"Bakery Shop Assistant - Jurong Point",103.707,1.33974
"Admin Assistant",103.901,1.33451
"Kitchen Crew / Assistants / Cooks",103.844,1.28849
"Software Engineer",103.843,1.27311
"HR & Admin Assistant - Part-Time",103.691,1.3335
"Production Skilled Worker",103.691,1.3283
"Public Area Attendant",103.957,1.3198
"Mechanical Technician",103.712,1.43565
"Sales Executive (Retail)",103.848,1.33735
"Finance & Admin Support",103.848,1.33735
"PURCHASER ",103.76,1.4086
"Admin Clerk",103.76,1.40859
"Restaurant Captain / Floor Supervisor",103.852,1.28324
"Senior Stylist/Hair Salon Manager",103.842,1.29384
"Project Manager",103.792,1.30576
"Lead Repair Development Engineer, Coating Repair Technology",103.792,1.30576
"Senior MS&P Manager, Skin & Personal Care",103.792,1.30576
"Regional Legal Counsel",103.759,1.30241
"Accounts Executive",103.753,1.30146
"Outlet Chef",103.944,1.33318
"Fitness Trainer",103.868,1.29522
"Senior Art Instructor",103.904,1.3922
"Barista / Service Crew",103.853,1.30358
"Customer Service Consultant - Retail Hours",103.872,1.35077
Cook,103.836,1.35342
"ADMIN EXECUTIVE",103.684,1.32669
"Aileron Yakker",103.822,1.40455
"Service Crew",103.852,1.29235
"Improvement Project Lead",103.699,1.31999
"E commerce Executive",103.945,1.34265
"Customer Service Executive (Inbound Call Center)",103.945,1.34251
"Part Time Clinic Receptionist",103.895,1.31427
"Retail Assistant (Full-time/Part-time) #SGUnitedJobs",103.895,1.31427
"Store Assistant",103.752,1.33777
"Production Packers / Production Operators",103.648,1.31829
"Tech Prof-Mfg",103.626,1.27941
"Technical Sales Engineer",103.893,1.32588
"Gym & Cafe Service Crew",103.842,1.29199
"Chef-de-Partie #SGUnitedJobs",103.841,1.2919
Technician,103.871,1.31378
"Process Coordinator",103.705,1.33188
"Electrical Engineer (General)",103.803,1.43476
"Purchasing Clerk",103.807,1.45222
"Full-Time / Part-Time Cleaner",103.803,1.45238
"SITE ENGINEER",103.843,1.43846
"Delivery Driver",103.903,1.33558
"Restaurant Team Member (Part Time/Full Time)",103.848,1.28195
"Senior Process Engineer, Assembly",103.68,1.32949
"Interior Designer ( Sales ) - No Experience Required!",103.881,1.31821
"Project Manager #SGUnitedTraineeships #SGUP - Part-Time",103.881,1.31826
"Customer Service & Operations Support(Logistics)",103.854,1.29902
"Telco Brand Ambassador ( Dynamic Environment )",103.849,1.27943
"Production Operator CNC Machinery",103.624,1.28955
"Kitchen Cook",103.776,1.34195
"Part-Time Cafe Assistant",103.829,1.43366
"Ice Cream Server",103.829,1.4335
"IT Support Engineer ($3000-$4000)",103.822,1.28006
"Junior Interior Designer",103.837,1.29972
"Accounts Assistant Half Day Computerized Accounting - Part-Time",103.861,1.30369
"assistant operations supervisor",103.862,1.31033
"Manager (Innovation by Design), Market Development",103.854,1.29848
"warehouse/operations assistant",103.7,1.32715
"Recruitment Consultant",103.851,1.29232
"Sales Executive",103.852,1.30728
"Full time - Service Crew + Bonus + Benefits",103.837,1.30042
"Patent Paralegal",103.838,1.30044
"Android Developer",103.837,1.30021
"Graduate Building Services Engineer (Mechanical or Electrical) #SGUnitedJobs",103.837,1.30021
"Retail Assistant",103.905,1.30529
"Assitant Project Manager",103.863,1.31126
"Process Technician @ Pioneer / 5 days (LD)",103.644,1.32729
"Corporate Secretarial Executive",103.849,1.27928
"SALES & MARKETING MANAGER",103.893,1.35526
"Part-Time Cleaner",103.86,1.31085
Auctioneer,103.863,1.31159
"Marketing & Sales Specialist - Part-Time",103.862,1.31165
"Prata Master - Part-Time",103.863,1.33677
"Courier & Logistics Officer",103.995,1.37305
"SALES COORDINATOR",103.996,1.37448
"Growth Manager (Customer Acquisition) ",103.897,1.31942
"Service Crew @ Gelato / Ice Cream Cafe",103.93,1.35495
"Shipping Coordinator",103.807,1.28253
"Piano Teacher - Part Time / Contract",103.873,1.33621
"Autocad Draftsman",103.798,1.30491
"Chiropractic assistant/ Customer service officer",103.862,1.31189
Chef,103.837,1.46348
"Construction site technical",103.906,1.39621
"Senior Accounts Executive ",103.64,1.3307
"Store Attendant",103.902,1.38493
"Artificial Intelligence (AI) Engineer",103.895,1.3705
"Accounts Executive",103.698,1.32728
"Account Manager",103.788,1.29986
"FOH Host Hostess",103.848,1.28289
"Facility Service Specialist",103.846,1.39045
"Assistant Manager (Operations)",103.887,1.38083
"Indoor Sales",103.703,1.31226
"Full-Time Driver",103.703,1.33389
"Senior Executive/Manager, Operations and Finance ",103.847,1.28884
"Customer Experience Executive",103.855,1.31226
"Pizza Chef",103.807,1.33125
"Frontend Developer",103.808,1.28488
"Graphic Designer",103.909,1.33593
"E-Commerce Executive / Manager",103.864,1.30974
"Desktop Publishing Specialist",103.871,1.32657
"Senior Manager – China Sourcing ",103.854,1.27902
"Fund Accountant/ Senior Accountant (Central/ Private equity/ Real estate funds/ Up to $5.5K)",103.851,1.27823
"Principal/Professional Engineer",103.886,1.34234
"Customer Order Specialist",103.858,1.40514
"Cloud Infrastructure Engineer",103.755,1.40263
"#SGUnitedJobs Class 4 Delivery Driver",103.746,1.41937
"Trainee Assistant Restaurant Manager",103.888,1.33903
"Account cum Admin Executive",103.891,1.3371
"Delivery Driver - Alcohol Beverages",103.876,1.32918
"Production Technician",103.741,1.32445
"Operations & Production (Chemicals Food Additives) Assistant Manager / Manager",103.66,1.3214
"Process Tech (Production & Ops)",103.66,1.3214
"Sales Specialist / Executive B2B (Basic + Commission)",103.714,1.32385
"ESH Executive",103.806,1.44823
"Business Consultant",103.785,1.43499
"Coconut Barista ",103.804,1.28631
"Coconut Barista",103.805,1.28634
